timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
1784664016.923000,-63.22,-25.47,16.25,3.43,7.89,16.19,-7.43,16.00,4.22,30.63,12.04,-8.03,7.23,31.60,-2.96,70.88
1784664016.923000,8.98,-25.64,26.63,20.47,20.19,14.68,8.84,14.88,16.15,19.07,10.89,12.85,15.82,29.10,-1.04,56.46
1784664016.927000,2.16,-10.82,16.39,22.64,16.95,19.79,9.33,2.94,16.32,-0.05,6.00,9.90,11.92,11.14,-3.88,4.93
1784664016.927000,-94.81,4.65,-3.46,7.12,2.25,25.94,-6.15,-1.36,4.65,-9.26,1.32,-6.64,1.12,-4.57,-9.29,-28.15
1784664016.930000,-163.33,6.24,-11.86,-6.87,-7.20,25.25,-19.88,11.12,-5.37,-5.99,-1.20,-11.98,-5.13,-6.01,-11.99,-17.85
1784664016.930000,-132.15,-2.07,-5.67,-5.53,-3.81,18.84,-21.27,25.21,-4.80,-3.27,-2.68,-1.11,-5.28,0.15,-10.04,0.29
1784664016.937000,-63.58,-6.05,1.07,2.09,4.44,13.76,-17.70,23.45,1.33,-7.69,-3.72,7.43,-6.04,3.31,-6.84,-10.23
1784664016.937000,-45.33,-2.46,2.06,2.02,8.53,11.58,-17.52,10.77,3.88,-10.11,-2.86,0.23,-9.06,5.54,-6.19,-32.44
1784664017.043000,-68.02,-2.29,6.98,-2.14,10.03,7.15,-15.56,6.29,2.31,-2.32,0.44,-12.14,-7.75,14.17,-7.74,-23.80
1784664017.043000,-46.39,-13.29,22.25,3.42,14.44,-1.75,-2.99,15.31,3.96,8.00,3.46,-10.89,2.13,25.41,-8.66,20.61
1784664017.046000,63.44,-27.45,36.90,19.85,19.05,-9.27,16.99,22.49,13.24,6.66,2.72,6.15,14.99,25.83,-8.52,57.49
1784664017.046000,206.44,-30.16,35.30,32.02,14.05,-7.78,31.57,14.09,25.65,-8.27,-1.70,24.52,21.75,9.79,-10.12,48.31
1784664017.055000,293.92,-19.06,18.05,26.68,-3.63,2.24,32.81,-4.89,33.32,-23.73,-5.30,32.02,19.85,-10.42,-15.73,9.35
1784664017.055000,293.08,-8.59,2.38,7.13,-22.15,10.73,24.19,-18.93,33.09,-26.86,-3.53,29.78,14.27,-14.96,-23.41,-3.74
1784664017.055000,233.24,-12.70,2.52,-10.47,-25.06,8.74,14.09,-20.03,27.44,-18.24,3.02,25.28,10.18,2.04,-27.62,36.21
1784664017.055000,143.86,-26.41,13.66,-13.85,-10.29,-0.35,5.90,-14.55,19.07,-8.88,8.58,18.81,6.50,23.72,-24.32,90.31
1784664017.056000,21.16,-31.32,17.33,-7.64,6.12,-4.49,-4.35,-13.40,7.81,-7.19,7.91,3.01,-1.90,27.47,-15.69,97.92
1784664017.056000,-120.84,-17.97,3.25,-5.86,8.87,2.18,-19.40,-18.06,-5.00,-11.40,1.34,-21.88,-15.20,9.07,-8.15,47.16
1784664017.060000,-207.40,5.26,-18.98,-13.73,1.01,13.30,-33.42,-20.58,-12.64,-14.04,-6.47,-42.43,-26.14,-15.37,-5.84,-19.06
1784664017.060000,-186.44,24.58,-33.86,-25.69,-4.40,19.99,-39.50,-15.84,-10.28,-11.39,-11.31,-48.52,-29.47,-28.59,-7.77,-55.83
1784664017.105000,-120.60,32.62,-36.29,-37.26,-3.20,20.84,-39.43,-5.61,-3.56,-6.13,-11.42,-45.73,-28.30,-24.65,-10.67,-46.68
1784664017.105000,-101.95,27.39,-28.03,-46.32,-0.03,19.71,-37.40,8.98,-1.31,-2.32,-6.85,-44.13,-27.51,-5.99,-11.97,5.91
1784664017.108000,-116.61,11.28,-10.26,-46.29,4.15,18.66,-30.60,26.58,-2.84,-1.54,0.22,-43.08,-25.92,19.36,-10.36,80.73
1784664017.108000,-93.57,-4.86,10.81,-31.86,11.40,16.99,-16.14,36.15,-1.47,-4.09,5.38,-35.37,-19.49,36.79,-6.25,130.57
1784664017.111000,-47.78,-6.34,20.29,-11.78,17.10,15.17,-2.51,23.52,2.40,-9.86,4.82,-21.94,-10.02,33.02,-2.74,113.28
1784664017.111000,-67.33,9.34,8.88,-4.77,12.86,14.46,-3.18,-5.77,1.24,-14.91,-0.83,-11.42,-4.24,11.24,-3.56,43.99
1784664017.114000,-162.20,25.82,-11.63,-17.61,0.17,12.65,-17.89,-22.79,-6.70,-11.44,-6.26,-4.09,-3.37,-7.41,-8.46,-6.51
1784664017.114000,-217.43,23.60,-16.81,-34.48,-7.35,5.33,-29.06,-4.21,-12.22,3.91,-6.56,10.84,-0.28,-3.67,-12.06,15.97
1784664017.121000,-128.92,2.00,3.61,-33.71,1.04,-6.66,-20.63,41.06,-6.02,23.86,-2.01,36.39,9.91,19.12,-9.17,90.03
1784664017.121000,68.48,-18.34,32.94,-12.32,20.90,-14.69,4.55,80.64,9.98,35.96,2.74,55.66,21.03,37.35,-0.78,144.85
1784664017.286000,239.05,-15.84,45.16,9.68,37.93,-10.07,28.84,89.82,24.93,33.47,4.00,47.09,21.78,31.36,6.42,133.36
1784664017.286000,281.63,9.49,32.43,10.22,42.22,5.83,37.42,70.56,30.01,20.90,2.49,11.86,9.79,6.47,6.93,71.15
1784664017.287000,206.95,34.96,10.99,-10.15,35.36,20.47,29.65,43.70,25.28,9.40,1.55,-20.73,-3.47,-12.33,1.82,14.26
1784664017.287000,99.52,38.39,1.63,-27.35,25.38,21.61,15.71,25.61,17.25,5.13,2.68,-21.72,-4.58,-7.68,-3.06,2.25
