timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
1784664047.644000,106.05,6.08,35.83,-12.85,7.29,-4.72,9.35,36.87,16.59,9.32,10.05,25.21,14.90,25.89,4.73,79.97
1784664047.644000,44.48,10.71,34.36,-16.84,2.46,-8.39,2.91,32.91,16.02,10.98,8.68,21.91,13.58,24.90,1.86,76.57
1784664047.647000,-19.95,13.77,22.36,-19.17,-4.56,-8.53,-5.36,26.00,8.46,12.71,6.04,11.36,10.19,19.91,-2.77,60.10
1784664047.647000,-19.66,14.30,6.36,-19.28,-11.23,-5.05,-6.51,13.52,-1.78,11.54,3.59,-2.73,4.90,11.24,-6.76,40.45
1784664047.654000,79.26,10.89,0.03,-16.02,-12.51,-1.89,3.44,-1.04,-6.10,5.08,1.79,-10.95,0.50,1.24,-6.93,19.54
1784664047.654000,226.36,5.27,8.75,-9.28,-5.79,-1.24,17.74,-7.63,-1.08,-3.89,0.50,-6.18,1.08,-5.38,-2.78,-4.58
1784664047.704000,324.66,2.31,23.55,-2.78,4.18,-0.93,26.34,-1.61,7.84,-8.91,-0.25,7.87,6.24,-5.56,2.03,-25.53
1784664047.704000,310.00,5.64,31.64,-0.83,9.32,1.68,25.37,7.92,12.74,-7.61,-0.38,17.95,9.88,-2.35,3.21,-32.99
1784664047.763000,202.85,15.58,29.09,-3.24,5.99,5.84,18.91,4.73,10.88,-5.28,-0.35,11.65,5.88,-3.62,0.41,-31.17
1784664047.763000,89.01,27.99,21.66,-6.99,-2.77,7.79,13.79,-15.35,5.69,-7.21,-0.65,-9.42,-4.61,-12.53,-3.23,-37.09
1784664047.770000,48.40,33.59,16.15,-8.97,-9.39,4.38,14.09,-34.50,1.86,-11.38,-0.96,-26.88,-12.52,-21.49,-4.83,-55.97
1784664047.770000,92.91,25.87,14.25,-7.47,-7.64,-3.20,18.97,-31.48,0.93,-11.70,-0.74,-23.69,-10.10,-20.64,-3.91,-71.25
1784664047.770000,158.07,10.16,13.74,-4.87,0.70,-9.90,23.36,-6.35,1.37,-4.87,-0.21,-2.79,0.71,-9.21,-1.81,-64.64
1784664047.770000,151.43,-0.23,12.92,-6.17,7.14,-11.23,20.68,19.51,1.47,5.90,-0.10,16.92,10.72,3.96,-0.30,-40.40
1784664047.774000,24.43,3.16,12.21,-13.58,5.02,-6.31,7.16,24.14,1.04,11.97,-0.79,18.90,12.15,8.51,-0.32,-22.30
