timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
1784664069.871000,-84.13,-2.76,-4.65,-6.95,1.72,-13.84,-1.84,-12.81,3.62,-15.39,-17.66,-18.87,-8.92,-17.50,-1.25,-42.26
1784664069.871000,-52.35,-5.80,-3.13,-4.20,3.30,-17.82,1.35,-19.92,2.99,-17.49,-17.37,-18.07,-7.35,-21.81,-2.68,-59.96
1784664069.904000,-54.90,-9.71,-6.43,-3.04,3.27,-18.77,0.65,-28.62,0.55,-18.06,-15.53,-15.18,-5.60,-25.57,-5.38,-74.74
1784664069.904000,-138.94,-8.91,-17.93,-2.41,-0.36,-13.68,-8.28,-39.59,-3.36,-19.86,-12.68,-17.05,-6.87,-30.13,-7.53,-85.80
1784664069.907000,-277.95,-3.41,-30.67,-3.49,-6.47,-6.45,-22.56,-41.83,-6.41,-20.69,-8.85,-23.68,-11.19,-30.41,-7.76,-73.52
1784664069.907000,-350.60,-0.82,-30.41,-5.02,-9.36,-4.99,-29.01,-26.14,-4.70,-17.95,-4.94,-25.65,-13.88,-22.17,-5.54,-26.84
1784664069.910000,-275.19,-4.78,-14.36,-4.07,-5.60,-10.83,-18.75,-4.89,2.11,-15.01,-3.42,-20.08,-12.47,-12.44,-1.94,22.76
1784664069.910000,-131.98,-8.08,1.26,-2.44,-0.76,-15.98,-1.17,-2.49,7.22,-17.45,-5.94,-18.27,-10.89,-13.93,0.32,27.04
1784664069.947000,-81.47,-3.07,-0.57,-6.51,-3.54,-13.18,5.26,-24.13,3.18,-23.27,-10.61,-28.80,-13.35,-28.26,-0.92,-17.66
1784664069.947000,-161.36,5.84,-15.76,-15.93,-12.58,-5.82,-3.58,-47.11,-7.05,-23.85,-13.33,-41.92,-16.98,-42.33,-4.31,-61.03
